Numero_de_pontos;Numero_de_cluster;Numero_de_Blobs;Semente;FOB_Algoritmo_Proposto;FOB_Algoritmo_Original;FOB_BeB;Tempo_Algoritmo_Proposto;Tempo_Algoritmo_Original;Tempo_BeB
250.0;2.0;4.0;87904.0;3425.29;3430.16;3425.29;0.24;0.01;1.29
250.0;2.0;5.0;87904.0;5210.97;5372.01;5210.97;0.2;0.01;1.49
500.0;2.0;1.0;87904.0;736.46;736.95;717.83;0.67;0.48;1.82
500.0;2.0;2.0;87904.0;1104.57;1123.89;1104.57;0.39;0.19;2.01
500.0;2.0;3.0;87904.0;10734.9;10768.57;10734.9;0.29;0.04;2.94
500.0;2.0;4.0;87904.0;7266.23;7266.68;7266.23;0.2;0.01;102.56
500.0;2.0;5.0;87904.0;10252.06;10305.97;10252.06;0.33;0.01;3.74
1000.0;2.0;1.0;87904.0;1430.65;1449.82;NaN;8.52;0.45;114.25
1000.0;2.0;2.0;87904.0;2152.33;2156.06;2152.33;0.37;0.02;2.75
1000.0;2.0;3.0;87904.0;21267.92;21311.97;21267.92;1.71;1.31;103.11
1000.0;2.0;4.0;87904.0;13760.24;13760.27;13760.24;0.5;0.05;5.59
1000.0;2.0;5.0;87904.0;19960.65;20162.28;20085.65;0.55;0.07;130.18
50.0;2.0;1.0;59295.0;65.57;70.68;67.95;0.25;0.19;0.19
50.0;2.0;2.0;59295.0;108.92;109.07;108.92;0.06;0.0;0.2
50.0;2.0;3.0;59295.0;844.64;1173.92;844.64;0.14;0.0;0.15
50.0;2.0;4.0;59295.0;950.29;953.34;950.29;0.07;0.0;0.36
50.0;2.0;5.0;59295.0;1357.97;1358.26;1357.97;0.09;0.0;0.29
100.0;2.0;1.0;59295.0;138.88;141.6;139.0;0.13;0.01;0.33
100.0;2.0;2.0;59295.0;214.07;214.32;214.07;0.07;0.0;0.46
100.0;2.0;3.0;59295.0;1682.26;2408.35;1682.26;0.3;0.04;1.09
100.0;2.0;4.0;59295.0;1855.74;1861.72;1855.74;0.14;0.0;0.64
100.0;2.0;5.0;59295.0;2638.04;2640.68;2638.04;0.17;0.0;1.2
250.0;2.0;1.0;59295.0;322.77;327.1;NaN;0.48;0.23;20.35
250.0;2.0;2.0;59295.0;499.92;499.99;499.92;0.18;0.0;0.94
250.0;2.0;3.0;59295.0;4052.21;4060.55;4052.21;0.15;0.0;2.75
250.0;2.0;4.0;59295.0;4443.46;4443.55;4443.46;0.15;0.0;1.85
250.0;2.0;5.0;59295.0;6153.44;6154.29;6153.44;0.13;0.0;2.49
500.0;2.0;1.0;59295.0;701.0;701.52;703.0;1.47;1.09;1.95
500.0;2.0;2.0;59295.0;1023.53;1024.06;1023.53;0.18;0.01;2.02
500.0;2.0;3.0;59295.0;8318.48;8433.77;8318.48;0.33;0.07;106.32
500.0;2.0;4.0;59295.0;8976.56;8977.06;8976.56;0.33;0.01;2.49
500.0;2.0;5.0;59295.0;12517.42;12517.95;12517.42;0.42;0.08;2.79
1000.0;2.0;1.0;59295.0;1335.22;1417.43;1335.22;6.79;0.39;5.93
1000.0;2.0;2.0;59295.0;2014.15;2014.17;2014.15;0.38;0.02;106.11
1000.0;2.0;3.0;59295.0;16086.73;16279.76;16086.73;3.16;0.11;7.45
1000.0;2.0;4.0;59295.0;17783.07;17783.24;17783.07;0.61;0.04;103.78
1000.0;2.0;5.0;59295.0;24866.19;24867.61;24866.19;0.72;0.09;104.02
50.0;2.0;1.0;48563.0;53.6;57.87;53.36;0.13;0.07;0.31
50.0;2.0;2.0;48563.0;125.44;130.28;125.44;0.06;0.0;0.52
50.0;2.0;3.0;48563.0;1102.44;1105.9;1102.44;0.16;0.0;0.36
50.0;2.0;4.0;48563.0;759.3;761.56;759.3;0.07;0.0;0.34
50.0;2.0;5.0;48563.0;744.94;746.19;744.94;0.09;0.0;0.75
100.0;2.0;1.0;48563.0;113.09;114.2;113.09;0.17;0.07;100.28
100.0;2.0;2.0;48563.0;243.03;244.71;243.03;0.08;0.0;0.49
100.0;2.0;3.0;48563.0;2178.37;2180.64;2178.37;0.15;0.0;0.64
100.0;2.0;4.0;48563.0;1460.9;1462.41;1460.9;0.18;0.0;0.89
100.0;2.0;5.0;48563.0;1511.4;1514.07;1511.4;0.13;0.0;0.61
250.0;2.0;1.0;48563.0;340.73;341.94;331.12;0.82;0.47;1.09
